dataset,model,recall,precision
SKAB valve1,Isolation Forest,0.9079,0.3411
SKAB valve1,Isolation Forest,0.9044,0.3417
SKAB valve1,Isolation Forest,0.8965,0.3411
SKAB valve1,Isolation Forest,0.8947,0.3431
SKAB valve1,Isolation Forest,0.8886,0.343
SKAB valve1,Isolation Forest,0.8798,0.3421
SKAB valve1,Isolation Forest,0.8754,0.3426
SKAB valve1,Isolation Forest,0.8737,0.3433
SKAB valve1,Isolation Forest,0.8684,0.3443
SKAB valve1,Isolation Forest,0.8658,0.3447
SKAB valve1,Isolation Forest,0.8579,0.3441
SKAB valve1,Isolation Forest,0.8544,0.3443
SKAB valve1,Isolation Forest,0.85,0.3448
SKAB valve1,Isolation Forest,0.8482,0.3452
SKAB valve1,Isolation Forest,0.8447,0.3454
SKAB valve1,Isolation Forest,0.8421,0.3461
SKAB valve1,Isolation Forest,0.8368,0.3454
SKAB valve1,Isolation Forest,0.8316,0.345
SKAB valve1,Isolation Forest,0.8254,0.3447
SKAB valve1,Isolation Forest,0.8211,0.3448
SKAB valve1,Isolation Forest,0.8114,0.3445
SKAB valve1,Isolation Forest,0.8061,0.3447
SKAB valve1,Isolation Forest,0.8044,0.3456
SKAB valve1,Isolation Forest,0.7991,0.3448
SKAB valve1,Isolation Forest,0.793,0.3444
SKAB valve1,Isolation Forest,0.7912,0.3449
SKAB valve1,Isolation Forest,0.786,0.3441
SKAB valve1,Isolation Forest,0.7833,0.3447
SKAB valve1,Isolation Forest,0.7807,0.3452
SKAB valve1,Isolation Forest,0.7772,0.3447
SKAB valve1,Isolation Forest,0.7728,0.3441
SKAB valve1,Isolation Forest,0.7675,0.3431
SKAB valve1,Isolation Forest,0.7623,0.3442
SKAB valve1,Isolation Forest,0.7544,0.3437
SKAB valve1,Isolation Forest,0.7482,0.346
SKAB valve1,Isolation Forest,0.736,0.3468
SKAB valve1,Isolation Forest,0.7333,0.3476
SKAB valve1,Isolation Forest,0.7281,0.3474
SKAB valve1,Isolation Forest,0.7228,0.3469
SKAB valve1,Isolation Forest,0.7184,0.3473
SKAB valve1,Isolation Forest,0.7167,0.3477
SKAB valve1,Isolation Forest,0.714,0.3476
SKAB valve1,Isolation Forest,0.7105,0.3484
SKAB valve1,Isolation Forest,0.707,0.3483
SKAB valve1,Isolation Forest,0.6947,0.346
SKAB valve1,Isolation Forest,0.693,0.3462
SKAB valve1,Isolation Forest,0.6886,0.3463
SKAB valve1,Isolation Forest,0.6781,0.3448
SKAB valve1,Isolation Forest,0.6702,0.344
SKAB valve1,Isolation Forest,0.6684,0.3443
SKAB valve1,Isolation Forest,0.6632,0.3447
SKAB valve1,Isolation Forest,0.6596,0.3445
SKAB valve1,Isolation Forest,0.6588,0.345
SKAB valve1,Isolation Forest,0.657,0.3461
SKAB valve1,Isolation Forest,0.6474,0.3463
SKAB valve1,Isolation Forest,0.6342,0.3464
SKAB valve1,Isolation Forest,0.6316,0.3463
SKAB valve1,Isolation Forest,0.6254,0.3466
SKAB valve1,Isolation Forest,0.6228,0.347
SKAB valve1,Isolation Forest,0.6175,0.3471
SKAB valve1,Isolation Forest,0.5789,0.3432
SKAB valve1,Isolation Forest,0.5667,0.3429
SKAB valve1,Isolation Forest,0.5588,0.3436
SKAB valve1,Isolation Forest,0.5579,0.3445
SKAB valve1,Isolation Forest,0.5526,0.3433
SKAB valve1,Isolation Forest,0.5509,0.3435
SKAB valve1,Isolation Forest,0.5491,0.3453
SKAB valve1,Isolation Forest,0.543,0.345
SKAB valve1,Isolation Forest,0.5412,0.347
SKAB valve1,Isolation Forest,0.5368,0.3465
SKAB valve1,Isolation Forest,0.5325,0.3467
SKAB valve1,Isolation Forest,0.5298,0.3467
SKAB valve1,Isolation Forest,0.5254,0.3464
SKAB valve1,Isolation Forest,0.5219,0.3463
SKAB valve1,Isolation Forest,0.5193,0.3478
SKAB valve1,Isolation Forest,0.5105,0.3464
SKAB valve1,Isolation Forest,0.5079,0.3461
SKAB valve1,Isolation Forest,0.5018,0.3454
SKAB valve1,Isolation Forest,0.4991,0.3451
SKAB valve1,Isolation Forest,0.4956,0.3451
SKAB valve1,Isolation Forest,0.4833,0.3439
SKAB valve1,Isolation Forest,0.4781,0.3428
SKAB valve1,Isolation Forest,0.4596,0.3459
SKAB valve1,Isolation Forest,0.4412,0.3455
SKAB valve1,Isolation Forest,0.4351,0.3442
SKAB valve1,Isolation Forest,0.4316,0.3448
SKAB valve1,Isolation Forest,0.4272,0.3451
SKAB valve1,Isolation Forest,0.4237,0.3452
SKAB valve1,Isolation Forest,0.4158,0.3447
SKAB valve1,Isolation Forest,0.4105,0.3426
SKAB valve1,Isolation Forest,0.4061,0.3427
SKAB valve1,Isolation Forest,0.4035,0.3428
SKAB valve1,Isolation Forest,0.4035,0.3451
SKAB valve1,Isolation Forest,0.4018,0.3457
SKAB valve1,Isolation Forest,0.3965,0.345
SKAB valve1,Isolation Forest,0.393,0.3457
SKAB valve1,Isolation Forest,0.3912,0.3463
SKAB valve1,Isolation Forest,0.3886,0.3466
SKAB valve1,Isolation Forest,0.3868,0.3486
SKAB valve1,Isolation Forest,0.3833,0.3488
SKAB valve1,Isolation Forest,0.3798,0.3486
SKAB valve1,Isolation Forest,0.3702,0.3445
SKAB valve1,Isolation Forest,0.3675,0.3446
SKAB valve1,Isolation Forest,0.3623,0.3433
SKAB valve1,Isolation Forest,0.3544,0.3432
SKAB valve1,Isolation Forest,0.3526,0.3487
SKAB valve1,Isolation Forest,0.35,0.3494
SKAB valve1,Isolation Forest,0.343,0.3482
SKAB valve1,Isolation Forest,0.3386,0.35
SKAB valve1,Isolation Forest,0.3333,0.3509
SKAB valve1,Isolation Forest,0.3298,0.3507
SKAB valve1,Isolation Forest,0.3272,0.3549
SKAB valve1,Isolation Forest,0.3228,0.3562
SKAB valve1,Isolation Forest,0.3193,0.3569
SKAB valve1,Isolation Forest,0.3158,0.3579
SKAB valve1,Isolation Forest,0.3088,0.3581
SKAB valve1,Isolation Forest,0.2921,0.3531
SKAB valve1,Isolation Forest,0.2895,0.3556
SKAB valve1,Isolation Forest,0.286,0.3543
SKAB valve1,Isolation Forest,0.2825,0.3558
SKAB valve1,Isolation Forest,0.2737,0.3545
SKAB valve1,Isolation Forest,0.2711,0.356
SKAB valve1,Isolation Forest,0.2667,0.3564
SKAB valve1,Isolation Forest,0.2667,0.3615
SKAB valve1,Isolation Forest,0.2553,0.3536
SKAB valve1,Isolation Forest,0.2368,0.3506
SKAB valve1,Isolation Forest,0.2316,0.3478
SKAB valve1,Isolation Forest,0.2228,0.347
SKAB valve1,Isolation Forest,0.2193,0.3444
SKAB valve1,Isolation Forest,0.2079,0.3395
SKAB valve1,Isolation Forest,0.2061,0.3401
SKAB valve1,Isolation Forest,0.2035,0.3402
SKAB valve1,Isolation Forest,0.1947,0.3384
SKAB valve1,Isolation Forest,0.1842,0.3349
SKAB valve1,Isolation Forest,0.1825,0.336
SKAB valve1,Isolation Forest,0.1693,0.3294
SKAB valve1,Isolation Forest,0.1675,0.3351
SKAB valve1,Isolation Forest,0.1614,0.3327
SKAB valve1,Isolation Forest,0.1561,0.3371
SKAB valve1,Isolation Forest,0.1526,0.3353
SKAB valve1,Isolation Forest,0.15,0.3386
SKAB valve1,Isolation Forest,0.1465,0.3367
SKAB valve1,Isolation Forest,0.1386,0.3319
SKAB valve1,Isolation Forest,0.1325,0.3283
SKAB valve1,Isolation Forest,0.1254,0.325
SKAB valve1,Isolation Forest,0.1219,0.3286
SKAB valve1,Isolation Forest,0.1211,0.3333
SKAB valve1,Isolation Forest,0.1193,0.3392
SKAB valve1,Isolation Forest,0.114,0.3377
SKAB valve1,Isolation Forest,0.1088,0.3351
SKAB valve1,Isolation Forest,0.1009,0.3314
SKAB valve1,Isolation Forest,0.0991,0.3333
SKAB valve1,Isolation Forest,0.0947,0.3293
SKAB valve1,Isolation Forest,0.0833,0.3199
SKAB valve1,Isolation Forest,0.0798,0.3204
SKAB valve1,Isolation Forest,0.0737,0.332
SKAB valve1,Isolation Forest,0.0684,0.3237
SKAB valve1,Isolation Forest,0.0667,0.3276
SKAB valve1,Isolation Forest,0.0623,0.3184
SKAB valve1,Isolation Forest,0.0588,0.3252
SKAB valve1,Isolation Forest,0.0579,0.3333
SKAB valve1,Isolation Forest,0.0544,0.3298
SKAB valve1,Isolation Forest,0.0535,0.3352
SKAB valve1,Isolation Forest,0.05,0.3276
SKAB valve1,Isolation Forest,0.0491,0.3333
SKAB valve1,Isolation Forest,0.0474,0.3439
SKAB valve1,Isolation Forest,0.0465,0.3813
SKAB valve1,Isolation Forest,0.0421,0.3664
SKAB valve1,Isolation Forest,0.0404,0.3833
SKAB valve1,Isolation Forest,0.0377,0.3839
SKAB valve1,Isolation Forest,0.0333,0.3838
SKAB valve1,Isolation Forest,0.0289,0.3976
SKAB valve1,Isolation Forest,0.0237,0.4154
SKAB valve1,Isolation Forest,0.0193,0.3929
SKAB valve1,Isolation Forest,0.0123,0.4
SKAB valve1,Isolation Forest,0.0105,0.4444
SKAB valve1,Isolation Forest,0.0053,0.375
SKAB valve1,Isolation Forest,0.0026,0.4286
SKAB valve1,Isolation Forest,0.0,1.0
SKAB valve1,One-Class SVM,1.0,0.3386
SKAB valve1,One-Class SVM,0.0,1.0
SKAB valve1,LOF,1.0,0.3386
SKAB valve1,LOF,1.0,0.3402
SKAB valve1,LOF,1.0,0.3419
SKAB valve1,LOF,1.0,0.3437
SKAB valve1,LOF,1.0,0.3455
SKAB valve1,LOF,1.0,0.3472
SKAB valve1,LOF,1.0,0.3491
SKAB valve1,LOF,1.0,0.3509
SKAB valve1,LOF,1.0,0.3527
SKAB valve1,LOF,1.0,0.3546
SKAB valve1,LOF,1.0,0.3565
SKAB valve1,LOF,1.0,0.3584
SKAB valve1,LOF,1.0,0.3603
SKAB valve1,LOF,0.9991,0.3618
SKAB valve1,LOF,0.9991,0.3638
SKAB valve1,LOF,0.9991,0.3658
SKAB valve1,LOF,0.9982,0.3675
SKAB valve1,LOF,0.9982,0.3695
SKAB valve1,LOF,0.9982,0.3715
SKAB valve1,LOF,0.9982,0.3736
SKAB valve1,LOF,0.9974,0.3754
SKAB valve1,LOF,0.9965,0.3772
SKAB valve1,LOF,0.9956,0.379
SKAB valve1,LOF,0.9956,0.3811
SKAB valve1,LOF,0.9956,0.3833
SKAB valve1,LOF,0.9956,0.3854
SKAB valve1,LOF,0.9956,0.3876
SKAB valve1,LOF,0.9939,0.3892
SKAB valve1,LOF,0.9921,0.3908
SKAB valve1,LOF,0.9921,0.3931
SKAB valve1,LOF,0.9912,0.3951
SKAB valve1,LOF,0.9895,0.3968
SKAB valve1,LOF,0.986,0.3977
SKAB valve1,LOF,0.9816,0.3984
SKAB valve1,LOF,0.9754,0.3983
SKAB valve1,LOF,0.9728,0.3996
SKAB valve1,LOF,0.9667,0.3996
SKAB valve1,LOF,0.9614,0.3999
SKAB valve1,LOF,0.9561,0.4
SKAB valve1,LOF,0.9518,0.4007
SKAB valve1,LOF,0.9491,0.4021
SKAB valve1,LOF,0.943,0.402
SKAB valve1,LOF,0.9368,0.402
SKAB valve1,LOF,0.9316,0.4023
SKAB valve1,LOF,0.9254,0.4022
SKAB valve1,LOF,0.9202,0.4025
SKAB valve1,LOF,0.9167,0.4036
SKAB valve1,LOF,0.9132,0.4047
SKAB valve1,LOF,0.9079,0.4051
SKAB valve1,LOF,0.9061,0.407
SKAB valve1,LOF,0.9009,0.4072
SKAB valve1,LOF,0.8965,0.408
SKAB valve1,LOF,0.8921,0.4088
SKAB valve1,LOF,0.8833,0.4075
SKAB valve1,LOF,0.8798,0.4087
SKAB valve1,LOF,0.8746,0.4091
SKAB valve1,LOF,0.8719,0.4107
SKAB valve1,LOF,0.8632,0.4095
SKAB valve1,LOF,0.857,0.4095
SKAB valve1,LOF,0.8526,0.4103
SKAB valve1,LOF,0.8456,0.4099
SKAB valve1,LOF,0.8404,0.4103
SKAB valve1,LOF,0.8325,0.4094
SKAB valve1,LOF,0.8281,0.4101
SKAB valve1,LOF,0.8202,0.4092
SKAB valve1,LOF,0.8175,0.4109
SKAB valve1,LOF,0.8114,0.4109
SKAB valve1,LOF,0.807,0.4118
SKAB valve1,LOF,0.8,0.4114
SKAB valve1,LOF,0.7947,0.4118
SKAB valve1,LOF,0.7904,0.4127
SKAB valve1,LOF,0.786,0.4137
SKAB valve1,LOF,0.7789,0.4132
SKAB valve1,LOF,0.7719,0.4128
SKAB valve1,LOF,0.7649,0.4123
SKAB valve1,LOF,0.7623,0.414
SKAB valve1,LOF,0.7553,0.4135
SKAB valve1,LOF,0.7456,0.4116
SKAB valve1,LOF,0.7412,0.4126
SKAB valve1,LOF,0.7342,0.4121
SKAB valve1,LOF,0.7307,0.4136
SKAB valve1,LOF,0.7246,0.4136
SKAB valve1,LOF,0.7193,0.4141
SKAB valve1,LOF,0.7149,0.4152
SKAB valve1,LOF,0.7088,0.4152
SKAB valve1,LOF,0.6982,0.4126
SKAB valve1,LOF,0.6895,0.4111
SKAB valve1,LOF,0.6833,0.4111
SKAB valve1,LOF,0.6763,0.4103
SKAB valve1,LOF,0.6675,0.4087
SKAB valve1,LOF,0.6614,0.4087
SKAB valve1,LOF,0.6544,0.4081
SKAB valve1,LOF,0.6509,0.4097
SKAB valve1,LOF,0.6456,0.4103
SKAB valve1,LOF,0.6395,0.4102
SKAB valve1,LOF,0.6333,0.4102
SKAB valve1,LOF,0.6307,0.4125
SKAB valve1,LOF,0.6246,0.4125
SKAB valve1,LOF,0.6219,0.4149
SKAB valve1,LOF,0.6167,0.4155
SKAB valve1,LOF,0.6114,0.4159
SKAB valve1,LOF,0.607,0.4171
SKAB valve1,LOF,0.6009,0.4172
SKAB valve1,LOF,0.5956,0.4178
SKAB valve1,LOF,0.5912,0.4192
SKAB valve1,LOF,0.5868,0.4205
SKAB valve1,LOF,0.5833,0.4225
SKAB valve1,LOF,0.5798,0.4245
SKAB valve1,LOF,0.5754,0.426
SKAB valve1,LOF,0.5693,0.4261
SKAB valve1,LOF,0.5675,0.4296
SKAB valve1,LOF,0.5623,0.4305
SKAB valve1,LOF,0.557,0.4311
SKAB valve1,LOF,0.5509,0.4313
SKAB valve1,LOF,0.5447,0.4315
SKAB valve1,LOF,0.5368,0.4304
SKAB valve1,LOF,0.5316,0.4313
SKAB valve1,LOF,0.5263,0.4323
SKAB valve1,LOF,0.5202,0.4325
SKAB valve1,LOF,0.5167,0.435
SKAB valve1,LOF,0.5114,0.4361
SKAB valve1,LOF,0.5053,0.4364
SKAB valve1,LOF,0.4982,0.4359
SKAB valve1,LOF,0.4939,0.4378
SKAB valve1,LOF,0.4886,0.4389
SKAB valve1,LOF,0.4833,0.4397
SKAB valve1,LOF,0.4807,0.4434
SKAB valve1,LOF,0.4754,0.4446
SKAB valve1,LOF,0.4702,0.4459
SKAB valve1,LOF,0.4632,0.4456
SKAB valve1,LOF,0.4561,0.4452
SKAB valve1,LOF,0.4465,0.4422
SKAB valve1,LOF,0.4404,0.4427
SKAB valve1,LOF,0.4386,0.4476
SKAB valve1,LOF,0.4351,0.4509
SKAB valve1,LOF,0.4333,0.4561
SKAB valve1,LOF,0.4289,0.4587
SKAB valve1,LOF,0.4228,0.459
SKAB valve1,LOF,0.4211,0.4647
SKAB valve1,LOF,0.4158,0.4665
SKAB valve1,LOF,0.4096,0.4675
SKAB valve1,LOF,0.4035,0.4684
SKAB valve1,LOF,0.4009,0.4736
SKAB valve1,LOF,0.3947,0.4747
SKAB valve1,LOF,0.3886,0.4758
SKAB valve1,LOF,0.3833,0.4781
SKAB valve1,LOF,0.3798,0.4827
SKAB valve1,LOF,0.3754,0.4864
SKAB valve1,LOF,0.3693,0.4878
SKAB valve1,LOF,0.3632,0.4894
SKAB valve1,LOF,0.3553,0.488
SKAB valve1,LOF,0.3482,0.4883
SKAB valve1,LOF,0.3404,0.4874
SKAB valve1,LOF,0.3333,0.4878
SKAB valve1,LOF,0.3281,0.4908
SKAB valve1,LOF,0.3237,0.4953
SKAB valve1,LOF,0.3211,0.5027
SKAB valve1,LOF,0.3149,0.5049
SKAB valve1,LOF,0.3105,0.5101
SKAB valve1,LOF,0.3026,0.5096
SKAB valve1,LOF,0.3,0.5182
SKAB valve1,LOF,0.2974,0.5272
SKAB valve1,LOF,0.2904,0.5279
SKAB valve1,LOF,0.2842,0.5311
SKAB valve1,LOF,0.2816,0.5413
SKAB valve1,LOF,0.2763,0.5469
SKAB valve1,LOF,0.2728,0.5564
SKAB valve1,LOF,0.2711,0.5701
SKAB valve1,LOF,0.2667,0.579
SKAB valve1,LOF,0.2649,0.5945
SKAB valve1,LOF,0.2579,0.5988
SKAB valve1,LOF,0.2544,0.6118
SKAB valve1,LOF,0.2509,0.6258
SKAB valve1,LOF,0.2465,0.6386
SKAB valve1,LOF,0.2377,0.6407
SKAB valve1,LOF,0.2342,0.656
SKAB valve1,LOF,0.2316,0.6769
SKAB valve1,LOF,0.2307,0.7051
SKAB valve1,LOF,0.2228,0.7135
SKAB valve1,LOF,0.2167,0.7286
SKAB valve1,LOF,0.2105,0.7453
SKAB valve1,LOF,0.2035,0.7607
SKAB valve1,LOF,0.1982,0.7847
SKAB valve1,LOF,0.1921,0.8081
SKAB valve1,LOF,0.1842,0.8268
SKAB valve1,LOF,0.1746,0.8397
SKAB valve1,LOF,0.1632,0.8455
SKAB valve1,LOF,0.1526,0.8529
SKAB valve1,LOF,0.1404,0.8556
SKAB valve1,LOF,0.1254,0.8412
SKAB valve1,LOF,0.1132,0.8431
SKAB valve1,LOF,0.1035,0.8676
SKAB valve1,LOF,0.0921,0.8824
SKAB valve1,LOF,0.0807,0.902
SKAB valve1,LOF,0.0658,0.8824
SKAB valve1,LOF,0.0518,0.8676
SKAB valve1,LOF,0.0377,0.8431
SKAB valve1,LOF,0.0237,0.7941
SKAB valve1,LOF,0.0114,0.7647
SKAB valve1,LOF,0.0,1.0
SKAB valve1,AutoEncoder,1.0,0.3386
SKAB valve1,AutoEncoder,1.0,0.3402
SKAB valve1,AutoEncoder,1.0,0.3419
SKAB valve1,AutoEncoder,1.0,0.3437
SKAB valve1,AutoEncoder,1.0,0.3455
SKAB valve1,AutoEncoder,1.0,0.3472
SKAB valve1,AutoEncoder,1.0,0.3491
SKAB valve1,AutoEncoder,1.0,0.3509
SKAB valve1,AutoEncoder,1.0,0.3527
SKAB valve1,AutoEncoder,1.0,0.3546
SKAB valve1,AutoEncoder,1.0,0.3565
SKAB valve1,AutoEncoder,1.0,0.3584
SKAB valve1,AutoEncoder,1.0,0.3603
SKAB valve1,AutoEncoder,1.0,0.3621
SKAB valve1,AutoEncoder,0.9991,0.3638
SKAB valve1,AutoEncoder,0.9991,0.3658
SKAB valve1,AutoEncoder,0.9991,0.3678
SKAB valve1,AutoEncoder,0.9991,0.3698
SKAB valve1,AutoEncoder,0.9991,0.3719
SKAB valve1,AutoEncoder,0.9982,0.3737
SKAB valve1,AutoEncoder,0.9982,0.3757
SKAB valve1,AutoEncoder,0.9974,0.3775
SKAB valve1,AutoEncoder,0.9965,0.3793
SKAB valve1,AutoEncoder,0.9965,0.3815
SKAB valve1,AutoEncoder,0.9965,0.3837
SKAB valve1,AutoEncoder,0.9965,0.3859
SKAB valve1,AutoEncoder,0.9956,0.3876
SKAB valve1,AutoEncoder,0.9956,0.3899
SKAB valve1,AutoEncoder,0.9947,0.3918
SKAB valve1,AutoEncoder,0.9947,0.3942
SKAB valve1,AutoEncoder,0.9947,0.3965
SKAB valve1,AutoEncoder,0.9921,0.3978
SKAB valve1,AutoEncoder,0.9886,0.3988
SKAB valve1,AutoEncoder,0.9825,0.3986
SKAB valve1,AutoEncoder,0.9763,0.3985
SKAB valve1,AutoEncoder,0.9693,0.3981
SKAB valve1,AutoEncoder,0.9632,0.398
SKAB valve1,AutoEncoder,0.9561,0.3975
SKAB valve1,AutoEncoder,0.9491,0.3971
SKAB valve1,AutoEncoder,0.9412,0.3962
SKAB valve1,AutoEncoder,0.936,0.3965
SKAB valve1,AutoEncoder,0.9316,0.3972
SKAB valve1,AutoEncoder,0.9254,0.3971
SKAB valve1,AutoEncoder,0.9193,0.397
SKAB valve1,AutoEncoder,0.914,0.3973
SKAB valve1,AutoEncoder,0.9096,0.3978
SKAB valve1,AutoEncoder,0.9088,0.4
SKAB valve1,AutoEncoder,0.9026,0.3999
SKAB valve1,AutoEncoder,0.8956,0.3995
SKAB valve1,AutoEncoder,0.8912,0.4002
SKAB valve1,AutoEncoder,0.886,0.4005
SKAB valve1,AutoEncoder,0.8789,0.4
SKAB valve1,AutoEncoder,0.8763,0.4015
SKAB valve1,AutoEncoder,0.8719,0.4023
SKAB valve1,AutoEncoder,0.8658,0.4022
SKAB valve1,AutoEncoder,0.8588,0.4017
SKAB valve1,AutoEncoder,0.8544,0.4025
SKAB valve1,AutoEncoder,0.8482,0.4026
SKAB valve1,AutoEncoder,0.843,0.4028
SKAB valve1,AutoEncoder,0.8351,0.4019
SKAB valve1,AutoEncoder,0.8281,0.4014
SKAB valve1,AutoEncoder,0.8211,0.4009
SKAB valve1,AutoEncoder,0.8132,0.3999
SKAB valve1,AutoEncoder,0.807,0.3998
SKAB valve1,AutoEncoder,0.8035,0.4012
SKAB valve1,AutoEncoder,0.7965,0.4005
SKAB valve1,AutoEncoder,0.786,0.3982
SKAB valve1,AutoEncoder,0.7772,0.3968
SKAB valve1,AutoEncoder,0.7719,0.3971
SKAB valve1,AutoEncoder,0.7649,0.3967
SKAB valve1,AutoEncoder,0.757,0.3957
SKAB valve1,AutoEncoder,0.7491,0.3945
SKAB valve1,AutoEncoder,0.7412,0.3934
SKAB valve1,AutoEncoder,0.7325,0.3918
SKAB valve1,AutoEncoder,0.7237,0.3903
SKAB valve1,AutoEncoder,0.7132,0.3877
SKAB valve1,AutoEncoder,0.7053,0.3865
SKAB valve1,AutoEncoder,0.6965,0.3849
SKAB valve1,AutoEncoder,0.6895,0.384
SKAB valve1,AutoEncoder,0.6798,0.3818
SKAB valve1,AutoEncoder,0.6728,0.381
SKAB valve1,AutoEncoder,0.6649,0.3798
SKAB valve1,AutoEncoder,0.6579,0.379
SKAB valve1,AutoEncoder,0.6518,0.3787
SKAB valve1,AutoEncoder,0.6474,0.3792
SKAB valve1,AutoEncoder,0.643,0.38
SKAB valve1,AutoEncoder,0.6368,0.3797
SKAB valve1,AutoEncoder,0.6307,0.3794
SKAB valve1,AutoEncoder,0.6237,0.3786
SKAB valve1,AutoEncoder,0.6202,0.3799
SKAB valve1,AutoEncoder,0.6158,0.3805
SKAB valve1,AutoEncoder,0.6079,0.3791
SKAB valve1,AutoEncoder,0.6044,0.3805
SKAB valve1,AutoEncoder,0.5991,0.3807
SKAB valve1,AutoEncoder,0.5974,0.3832
SKAB valve1,AutoEncoder,0.5912,0.383
SKAB valve1,AutoEncoder,0.5877,0.3844
SKAB valve1,AutoEncoder,0.5816,0.3841
SKAB valve1,AutoEncoder,0.5754,0.3839
SKAB valve1,AutoEncoder,0.5675,0.3824
SKAB valve1,AutoEncoder,0.5649,0.3845
SKAB valve1,AutoEncoder,0.5605,0.3854
SKAB valve1,AutoEncoder,0.5544,0.3851
SKAB valve1,AutoEncoder,0.5509,0.3865
SKAB valve1,AutoEncoder,0.5482,0.3887
SKAB valve1,AutoEncoder,0.543,0.3891
SKAB valve1,AutoEncoder,0.5342,0.3872
SKAB valve1,AutoEncoder,0.5289,0.3875
SKAB valve1,AutoEncoder,0.5237,0.3879
SKAB valve1,AutoEncoder,0.5202,0.3896
SKAB valve1,AutoEncoder,0.5167,0.3914
SKAB valve1,AutoEncoder,0.5132,0.3931
SKAB valve1,AutoEncoder,0.5079,0.3936
SKAB valve1,AutoEncoder,0.5053,0.3961
SKAB valve1,AutoEncoder,0.5,0.3967
SKAB valve1,AutoEncoder,0.5,0.4014
SKAB valve1,AutoEncoder,0.4956,0.4024
SKAB valve1,AutoEncoder,0.4895,0.4023
SKAB valve1,AutoEncoder,0.4842,0.4029
SKAB valve1,AutoEncoder,0.4798,0.4043
SKAB valve1,AutoEncoder,0.4746,0.4049
SKAB valve1,AutoEncoder,0.4702,0.4064
SKAB valve1,AutoEncoder,0.4675,0.4091
SKAB valve1,AutoEncoder,0.4649,0.4121
SKAB valve1,AutoEncoder,0.4605,0.4137
SKAB valve1,AutoEncoder,0.4553,0.4145
SKAB valve1,AutoEncoder,0.45,0.4154
SKAB valve1,AutoEncoder,0.4439,0.4154
SKAB valve1,AutoEncoder,0.4439,0.4213
SKAB valve1,AutoEncoder,0.443,0.4262
SKAB valve1,AutoEncoder,0.436,0.4259
SKAB valve1,AutoEncoder,0.4316,0.4278
SKAB valve1,AutoEncoder,0.4272,0.4302
SKAB valve1,AutoEncoder,0.4228,0.4323
SKAB valve1,AutoEncoder,0.4184,0.4344
SKAB valve1,AutoEncoder,0.4158,0.4381
SKAB valve1,AutoEncoder,0.414,0.4432
SKAB valve1,AutoEncoder,0.4123,0.4485
SKAB valve1,AutoEncoder,0.407,0.45
SKAB valve1,AutoEncoder,0.4035,0.4536
SKAB valve1,AutoEncoder,0.4018,0.4594
SKAB valve1,AutoEncoder,0.4018,0.4673
SKAB valve1,AutoEncoder,0.4,0.473
SKAB valve1,AutoEncoder,0.3982,0.4794
SKAB valve1,AutoEncoder,0.3956,0.4849
SKAB valve1,AutoEncoder,0.3921,0.4896
SKAB valve1,AutoEncoder,0.3904,0.4967
SKAB valve1,AutoEncoder,0.3877,0.5028
SKAB valve1,AutoEncoder,0.3825,0.5052
SKAB valve1,AutoEncoder,0.3781,0.5101
SKAB valve1,AutoEncoder,0.3719,0.5121
SKAB valve1,AutoEncoder,0.3649,0.5129
SKAB valve1,AutoEncoder,0.3623,0.5208
SKAB valve1,AutoEncoder,0.3596,0.5284
SKAB valve1,AutoEncoder,0.3561,0.5356
SKAB valve1,AutoEncoder,0.35,0.5377
SKAB valve1,AutoEncoder,0.3456,0.5434
SKAB valve1,AutoEncoder,0.3412,0.5494
SKAB valve1,AutoEncoder,0.3377,0.5572
SKAB valve1,AutoEncoder,0.3351,0.5668
SKAB valve1,AutoEncoder,0.3316,0.5753
SKAB valve1,AutoEncoder,0.3281,0.5835
SKAB valve1,AutoEncoder,0.3193,0.5833
SKAB valve1,AutoEncoder,0.3123,0.5865
SKAB valve1,AutoEncoder,0.307,0.5932
SKAB valve1,AutoEncoder,0.3009,0.5986
SKAB valve1,AutoEncoder,0.2939,0.6025
SKAB valve1,AutoEncoder,0.2868,0.6056
SKAB valve1,AutoEncoder,0.2754,0.6004
SKAB valve1,AutoEncoder,0.2667,0.6008
SKAB valve1,AutoEncoder,0.2561,0.5971
SKAB valve1,AutoEncoder,0.2456,0.5932
SKAB valve1,AutoEncoder,0.236,0.5912
SKAB valve1,AutoEncoder,0.2228,0.5799
SKAB valve1,AutoEncoder,0.2123,0.5735
SKAB valve1,AutoEncoder,0.1991,0.5605
SKAB valve1,AutoEncoder,0.1895,0.5567
SKAB valve1,AutoEncoder,0.1798,0.5526
SKAB valve1,AutoEncoder,0.1675,0.5395
SKAB valve1,AutoEncoder,0.157,0.5312
SKAB valve1,AutoEncoder,0.1465,0.5202
SKAB valve1,AutoEncoder,0.1395,0.523
SKAB valve1,AutoEncoder,0.1272,0.5052
SKAB valve1,AutoEncoder,0.1167,0.4926
SKAB valve1,AutoEncoder,0.1053,0.4743
SKAB valve1,AutoEncoder,0.0921,0.4449
SKAB valve1,AutoEncoder,0.0816,0.4247
SKAB valve1,AutoEncoder,0.0702,0.3941
SKAB valve1,AutoEncoder,0.0632,0.3871
SKAB valve1,AutoEncoder,0.0526,0.355
SKAB valve1,AutoEncoder,0.043,0.3224
SKAB valve1,AutoEncoder,0.0351,0.2963
