ticker,name,fy,revenue,rev_yoy,gross_margin,rnd_pct,op_margin,net_margin,source
IRBT,iRobot,FY2024,681.8,-0.234,0.209,0.137,-0.151,-0.213,"iRobot FY2024 10-K / earnings (rev 681.8M, GM 20.9%, R&D 93.3M, op -15.1%)"
TER,Teradyne,FY2024,2820.0,0.052,0.585,0.163,0.205,0.192,"Teradyne FY2024 8-K/10-K (rev 2.82B, GM 58.5%, R&D 460.9M, NI 542.4M)"
CGNX,Cognex,FY2024,915.0,0.057,0.68,0.162,0.07,0.09,"Cognex 2024 10-Q Q1/Q2 (Q1 rev 210.8M, GM 67%, R&D 37.1M)"
SYM,Symbotic,FY2024,1790.0,0.52,0.18,0.067,-0.05,-0.04,Symbotic FY2024 results press (Q4 rev 577M; FY rev ~1.79B)
